,age,gender,miles,debt,income,sales
836,24,1,27,9746,3727,4866
837,31,0,77,42576,8811,28176
838,23,0,10,5330,3593,4756
839,50,1,21,56163,7077,28942
840,45,0,15,5107,7028,6884
841,25,0,25,5214,6171,8188
842,43,0,14,7997,3977,5681
843,60,0,23,57387,10257,27357
844,55,1,87,43893,6272,27906
845,52,1,46,7952,8553,17343
846,45,0,47,31111,11012,19220
847,56,0,42,37581,6415,20428
848,47,1,33,27182,10107,19951
849,21,0,20,8053,1543,2140
850,40,1,15,0,1478,2083
851,34,0,28,6934,4757,5762
852,25,0,26,50381,9260,26689
853,51,0,15,896,4411,2606
854,53,0,32,51908,7169,23894
855,53,0,30,45904,11507,24449
856,24,1,11,9533,3872,4093
857,39,1,14,666,1262,2340
858,59,1,28,1309,5704,5017
859,24,1,22,2418,1444,2071
860,55,0,34,42643,8390,22818
861,60,1,35,49641,11206,27854
862,53,0,16,9944,5376,12033
863,21,1,11,1929,3053,4635
864,27,0,38,26575,6638,21110
865,35,1,22,12105,10490,18772
866,27,1,27,0,4963,1217
867,29,0,27,3619,2319,8334
868,19,1,18,1397,1761,4746
869,53,0,23,52381,7355,26912
870,21,0,22,788,7293,1394
871,43,0,24,467,4981,4241
872,24,1,19,3340,1388,2056
873,41,0,31,7554,6170,9928
874,53,1,27,49721,9359,24791
875,43,0,25,34611,7243,21758
876,20,0,28,4509,7125,4771
877,42,0,30,0,1673,2182
878,32,0,21,41751,10401,22527
879,28,0,21,46971,7912,24791
880,49,0,36,41147,6561,27058
881,23,0,28,331,2768,4609
882,38,1,23,1161,5184,2917
883,23,1,27,1147,11548,4748
884,26,1,28,6991,5797,7922
885,45,1,30,3956,6991,6729
886,26,1,23,898,2769,3286
887,41,0,13,1626,10614,2856
888,24,0,27,8910,0,731
889,19,0,18,5425,0,2488
890,36,0,32,48726,9619,22441
891,41,1,24,994,6912,4785
892,26,0,34,7007,2342,8958
893,32,0,28,0,1940,2248
894,50,0,12,0,1694,1823
895,40,0,25,4553,10386,17121
896,37,1,42,36690,9843,21631
897,21,1,17,9282,1102,4767
898,44,1,34,8508,9686,15689
899,57,0,18,8649,5970,14257
900,28,1,21,45639,9460,26974
901,58,0,20,7945,11817,15133
902,49,1,16,6925,10071,15849
903,53,1,26,2839,7679,9386
904,28,1,22,2109,6417,14063
905,49,1,33,6868,6909,11694
906,33,1,23,5809,5548,13722
907,27,1,30,2359,9308,8113
908,27,0,14,829,3703,4272
909,30,1,22,9058,7245,9869
910,48,0,22,29299,11844,18192
911,32,1,33,4738,5555,8479
912,24,1,14,4311,1164,4523
913,55,1,45,28687,9148,18997
914,30,0,42,0,9455,22821
915,34,1,28,1993,4597,3969
916,42,1,24,4947,6133,11060
917,54,1,24,56185,9625,28181
918,41,0,31,2847,4411,17561
919,45,1,28,1322,4880,3371
920,23,0,10,1002,0,642
921,27,1,30,4459,5834,7809
922,37,0,77,56206,8325,29560
923,56,0,24,0,151,652
924,44,1,40,58029,8835,23068
925,29,0,31,56986,10031,29886
926,26,0,14,471,7569,4842
927,30,0,26,9078,10185,17821
928,32,0,21,30454,2519,18370
929,35,1,34,5721,6398,11187
930,59,1,26,7207,4178,9378
931,37,1,50,26581,8972,21249
932,50,0,28,563,10103,17884
933,32,0,95,12500,8644,28406
934,43,0,72,40353,9082,29209
935,24,0,21,2475,6024,3702
936,38,1,25,7044,5802,9300
937,27,1,30,0,1393,2204
938,52,1,18,6456,1526,6264
939,34,1,25,6978,8874,15843
940,40,1,34,31178,8114,19181
941,22,1,19,5536,0,1068
942,39,0,30,5051,7027,12527
943,28,0,25,47406,10518,28119
944,28,1,30,363,11811,2977
945,40,1,30,1771,4600,3166
946,25,1,10,3205,6823,5332
947,53,0,27,0,1895,2232
948,38,0,48,25611,11694,21989
949,38,0,24,699,4057,5360
950,60,0,21,9902,3219,13119
951,24,1,26,946,1059,2509
952,57,0,21,3658,4221,14767
953,44,1,18,8989,4249,5947
954,58,0,17,6493,7095,12830
955,53,0,23,3574,2189,5888
956,58,0,23,5842,6019,9130
957,36,0,27,7133,11292,18062
958,22,0,11,8778,9829,1593
959,19,1,23,4850,3470,4742
960,28,1,28,9312,2720,12771
961,50,0,29,51343,8713,28511
962,47,1,15,3735,6406,6104
